,Unnamed: 0,bed,bathroom,location,year_built,heating,air_conditioner,basement,security,construction,Floor,fireplace,Roof,Parking,Property_type,zipcode,area,county,salary,price
3097,3099,5,3,"Denver, CO 80219",1956.0,,,,,,,,,,Single Family Residential,80219,"2,098",Denver,36565.0,"$695,000"
1681,1682,2.0,4.0,"DENVER, CO 80204",2017.0,Forcedair,Centralair,,,,,,,2.0,Residential Income,80204,"1,213 SqFt.",Denver,28247.0,"$624,900"
3986,4025,4 bed,1 bath,,1936.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Wood",,Composition,1.0,Single Family Residence,80220,$406 / sq ft,Denver,44475.0,"$1,025,000"
1443,1444,2.0,1.0,"DENVER, CO 80221",1932.0,Forcedair,Centralair,,,,"Carpet, Laminate, Tile",,,6.0,Residential,80221,840 SqFt.,Adams,39522.0,"$500,000"
3214,3224,3 Beds,3 Baths,,2002,Forced Air,,,,,,,,2 spaces,Single Family Residence,80249,"1,522 SqFt",Denver,63343.0,"$460,000"
1671,1672,1.0,1.0,"DENVER, CO 80247",1987.0,Forcedair,Centralair,,,,"Carpet, Linoleum",,,1.0,Residential,80247,705 SqFt.,Arapahoe,50411.666666666664,"$220,000"
3357,3367,4 Beds,4 Baths,,2008,Forced Air,"Central Air, Ceiling Fan(s)",,,,,,,2 spaces,Single Family Residence,80210,"3,781 SqFt",Denver,49953.0,"$1,250,000"
1179,1180,2.0,2.0,"DENVER, CO 80237",1973.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Laminate",,,5.0,Residential,80237,900 SqFt.,Denver,51612.0,"$260,000"
2798,2799,"4
Beds","2
Baths","909 E 4th Ave, Denver, CO 80218","This home is located at 909 E 4th Ave Denver, Co 80218 Us and has been listed on Homes.com since 18 January 2022 and is currently priced at $1,050,000, approximately $426 per square foot. This property was built in 1906. 909 E 4th Ave is within the school district(s) Denver Public Schools with nearby schools including Dora Moore School, Morey Middle School, and East High School. Similar properties nearby are 1632 S Steele St, 811 E 17th Ave, 3475 E 36th Ave, 1600 Eudora St, 1325 Delaware St, 3305 E 26th Avenue Pkwy, 909 E 4th Ave, 4518 E 16th Ave, 2815 Curtis St, and 664 Elati St.",,,,,,,,,,,80218,"2,464
Sq. Ft.",Denver,33162.0,"$1,050,000"
1692,1693,2.0,1.0,"DENVER, CO 80205",1963.0,Forcedair,None,,,,"Laminate, Tile",,,1.0,Residential Income,80205,884 SqFt.,Denver,28545.0,"$365,000"
3839,3877,2 bed,2 bath,,2009.0,Forced Air,Central Air,,,,,,Metal,2.0,,80202,$622 / sq ft,Denver,31295.0,"$1,150,000"
372,373,2 Beds,1 Bath,"Denver, CO 80222",Year Built: 1962,"Heating: Forced Air, Electric",,,,,,,,,Property Type: Apartment,80222,,Denver,41932.0,"$1,100/mo"
3576,3610,4 bed,2 bath,,2015.0,Forced Air,Central Air,,,,"Carpet,Tile,Wood",,Composition,2.0,Multi Family,80210,$424 / sq ft,Denver,49953.0,"$1,250,000"
1916,1917,3.0,3.0,"DENVER, CO 80239",2018.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80239,"1,682 SqFt.",Denver,44094.0,
1357,1358,4.0,3.0,"DENVER, CO 80222",1957.0,Forcedair,Centralair,,,,"Carpet, Laminate, Tile",,,1.0,Residential,80222,"2,222 SqFt.",Denver,41932.0,"$729,000"
1825,1826,3.0,5.0,"DENVER, CO 80206",2007.0,"Naturalgas, Radiant",Centralair,,,,Wood,,,3.0,Residential Income,80206,"3,871 SqFt.",Denver,40879.0,"$1,895,000"
786,787,2.0,1.0,"DENVER, CO 80218",1969.0,Radiant,Other,,,,"Carpet, Laminate, Vinyl",,,1.0,Residential,80218,873 SqFt.,Denver,33162.0,"$325,000"
469,470,3 Beds,2 Baths,"Denver, CO 80211",Year Built: 1949,"Heating: Forced Air, Gas",,,,,,,Roof: Asphalt,,Property Type: Single Family Home,80211,,Denver,35753.0,"$539,200"
140,140,2-3 Beds,1.5 Baths,"Thornton, CO 80229",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80229,,Adams,43698.0,"$1,720 - $2,230/mo"
788,789,3.0,2.0,"DENVER, CO 80227",1986.0,"Forcedair, Naturalgas",Evaporativecooling,,,,"Carpet, Linoleum",,,2.0,Residential,80227,"1,754 SqFt.",Jefferson,50816.0,"$500,000"
323,324,1-3 Beds,1-2 Baths,4550 E Cherry Creek Dr S,Year Built: 2003,,,,,,,,,,Property Type: Apartment,80246,,Denver,33336.0,"$1,626 - $3,367/mo"
4086,4126,1 bed,1 bath,,2002.0,Forced Air,Central Air,,,,,,,1.0,,80202,$491 / sq ft,Denver,31295.0,"$550,000"
714,715,2.0,1.0,"DENVER, CO 80247",1963.0,Baseboard,,,,,"Carpet, Parquet, Tile",,,1.0,Residential Income,80247,870 SqFt.,Arapahoe,50411.666666666664,"$178,000"
4627,4683,2 bed,1 bath,,1975.0,"Baseboard,Hot Water,NaturalGas",,,,,"Carpet,Laminate,Tile",,Composition,1.0,Condominium,80224,$246 / sq ft,Denver,45504.0,"$320,000"
2840,2841,"3
Beds","4
Baths","Henry at The Hub at Virginia Village in Denver, CO 80222","This home is located in Denver, Co 80222 Us and has been listed on Homes.com since 2 July 2021 and is currently priced at $634,990, approximately $353 per square foot. Similar properties nearby are 1427 S Ulster St, 7568 E Lowry Blvd, 3396 S Tulare Ct, 155 S Jackson St D, 3212 S Oneida Way, 3131 E Alameda Ave 1301, 1305 E Iowa Ave, 1599 S Spruce St, and 1860 S Monroe St.",,,,,,,,,,,80222,"1,799
Sq. Ft.",Denver,41932.0,"$634,990+"
2446,2447,2.0,1.0,"DENVER, CO 80219",2021.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile, Vinyl",,,1.0,Residential,80219,856 SqFt.,Denver,36565.0,"$445,000"
4788,4850,6 bed,3 bath,,1903.0,Forced Air,,,,,,,Composition,1.0,Single Family Residence,80223,$229 / sq ft,Denver,32853.0,"$1,075,000"
4396,4444,3 bed,1 bath,,1999.0,Forced Air,Central Air,,,,"Carpet,Tile",,Composition,1.0,Single Family Residence,80239,$365 / sq ft,Denver,44094.0,"$425,000"
4572,4627,,,,,,,,,,,,,,,80236,N/A / sq ft,Denver,45121.0,"$650,000"
2988,2989,5,4,"Denver, CO 80210",2007.0,,,,,,,,,,Single Family Residential,80210,"3,364",Denver,49953.0,"$1,150,000"
2666,2667,"4
Beds","2
Baths","4703 Dearborn Street, Denver, CO 80239","This home is located at 4703 Dearborn Street Denver, Co 80239 Us and has been listed on Homes.com since 31 December 2021 and is currently priced at $369,000, approximately $307 per square foot. This property was built in 1983. 4703 Dearborn Street is within the school district(s) Denver Public Schools with nearby schools including Oakland Elementary School, Strive Prep - Montbello, and Collegiate Preparatory Academy. Similar properties nearby are 4703 Dearborn St, 1728 Ceylon St, 2249 Macon St 4912, 4352 Freeport Way, 1665 Hanover St, 3168 Vaughn St, 5125 Hannibal St, 4659 Fontana Way, 18616 E 45th Pl, and 1750 Havana St.",Heating Details: Forced Air,,,,,,,Roof: Unknown,Total Number of Parking Spaces: 2,,80239,"1,202
Sq. Ft.",Denver,44094.0,"$369,000"
406,407,1-2 Beds,1-2 Baths,"Aurora, CO 80247",,,,,,,,,,,Property Type: Apartment,80247,,Arapahoe,50411.666666666664,"$1,405 - $2,100/mo"
3328,3338,2 Beds,2 Baths,,1985,Forced Air,"Central Air, Ceiling Fan(s)",,,,,"Insert, Electric, Living Room",,2 spaces,Townhouse,80231,"1,184 SqFt",Denver,40908.0,"$385,000"
1004,1005,4.0,2.0,"DENVER, CO 80211",1947.0,Forcedair,Centralair,,,,,,,2.0,Residential,80211,"1,864 SqFt.",Denver,35753.0,"$800,000"
2978,2979,1,1,"Denver, CO 80203",1953.0,,,,,,,,,,Condo,80203,649,Denver,27444.0,"$295,000"
890,891,3.0,5.0,"DENVER, CO 80211",2016.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile, Wood",,,11.0,Residential Income,80211,"3,270 SqFt.",Denver,35753.0,"$2,799,998"
2411,2412,1.0,1.0,"DENVER, CO 80221",2020.0,Forcedair,Centralair,,,,"Carpet, Tile, Vinyl",,,1.0,Residential,80221,791 SqFt.,Adams,39522.0,"$408,900"
2545,2546,"2
Beds","2
Baths","300 W 11th Avenue #5F, Denver, CO 80204","This home is located at 300 W 11th Avenue #5f Denver, Co 80204 Us and has been listed on Homes.com since 7 January 2022 and is currently priced at $495,000, approximately $375 per square foot. This property was built in 2001. 300 W 11th Avenue #5f is within the school district(s) Denver Public Schools with nearby schools including Greenlee Elementary School, Kepner Beacon Middle School, and West Leadership Academy. Similar properties nearby are 1551 Larimer St 705, 400 S Lafayette St 807, 3338 Curtis Street, 3304 Curtis Street, 3330 Curtis Street, 2957 N Columbine St, 1630 N Clarkson St, 2351 Federal Blvd 400, and 300 W 11th Ave 4i.",Heating Details: Forced Air,Cooling Details: Central Air,,,"Construction Materials: Concrete, Stone, Structural Steel",Flooring: Wood,,Roof: Unknown,Garage: 0 0,Building Features: High Rise 8,80204,"1,320
Sq. Ft.",Denver,28247.0,"$495,000"
3403,3414,2 Beds,3 Baths,,"New Const., 2022",Forced Air,"Central Air, Ceiling Fan(s)",,,,,"Insert, Gas, Gas Logs Included, Living Room, Single Fireplace",,2 spaces,Multi Family,80204,"2,401 SqFt",Denver,28247.0,"$975,000"
2390,2391,2.0,2.0,"DENVER, CO 80206",2006.0,Forcedair,Centralair,,,,"Carpet, Tile, Wood",,,2.0,Residential,80206,"1,248 SqFt.",Denver,40879.0,"$920,000"
3905,3944,2 bed,1 bath,,2013.0,Forced Air,"Ceiling Fan(s),Central Air",,,,,,Composition,2.0,,80210,$479 / sq ft,Denver,49953.0,"$659,000"
42,42,2 Beds,2 Baths,"Denver, CO 80218",,,,,,,,,,,Property Type: Apartment,80218,,Denver,33162.0,"$1,895/mo"
2830,2831,"3
Beds","3
Baths","10046 E 63rd Ave, Denver, CO 80238","This home is located at 10046 E 63rd Ave Denver, Co 80238 Us and has been listed on Homes.com since 18 November 2021 and is currently priced at $860,903, approximately $455 per square foot. Similar properties nearby are 9871 E 59th Dr, 2875 Elm St, 2916 Emporia St, 5670 Dallas St, 7781 E 29th Ave, 1380 Glencoe St, and 1659 Quebec St.",,,,,,,,,,,80238,"1,894
Sq. Ft.",Denver,39381.53220255654,"$860,903"
4177,4223,3 bed,2 bath,,2021.0,Forced Air,"Ceiling Fan(s),Central Air",,,,,,Rubber,2.0,,80211,$429 / sq ft,Denver,35753.0,"$995,000"
303,304,Studio-2 Beds,1-2 Baths,"Denver, CO 80220",Year Built: 2019,"Heating: Forced Air, Other",,,,,,,,,Property Type: Apartment,80220,,Denver,44475.0,"$1,665 - $4,263/mo"
4490,4543,1 bed,1 bath,,1967.0,Hot Water,,,,,"Carpet,Tile",,,,Condominium,80202,$450 / sq ft,Denver,31295.0,"$286,000"
3712,3748,2 bed,1 bath,,1970.0,NaturalGas,Central Air,,,,"Laminate,Tile",,,1.0,Condominium,80203,$420 / sq ft,Denver,27444.0,"$445,000"
664,665,1.0,1.0,"DENVER, CO 80247",1983.0,Forcedair,Centralair,,,,"Carpet, Laminate",,,1.0,Residential,80247,701 SqFt.,Arapahoe,50411.666666666664,"$249,900"
1177,1178,2.0,1.0,"DENVER, CO 80219",1951.0,"Floorfurnace, Naturalgas",Other,,,,"Laminate, Tile",,,2.0,Residential,80219,704 SqFt.,Denver,36565.0,"$399,900"
2676,2677,"2
Beds","2
Baths","2337 S Josephine Street #2341, Denver, CO 80210","This home is located at 2337 S Josephine Street #2341 Denver, Co 80210 Us and has been listed on Homes.com since 10 December 2021 and is currently priced at $1,700,000, approximately $659 per square foot. This property was built in 1948. 2337 S Josephine Street #2341 is within the school district(s) Denver Public Schools with nearby schools including University Park Elementary School, Merrill Middle School, and South High School. Similar properties nearby are 2337 S Josephine St 2341, 1059 S York St, 155 Steele St 918, 1983 S Logan St, 2260 S Madison St, 1357 S Saint Paul St, 651 S Race St, 1901 S Williams St, 2686 S Madison St, and 1026 S Elizabeth St.",Heating Details: Forced Air,Cooling Details: Central Air,,,Construction Materials: Block,,,Roof: Architectural Shingles,Garage: 1 0,Building Features: House,80210,"2,579
Sq. Ft.",Denver,49953.0,"$1,700,000"
1947,1948,2.0,1.0,"DENVER, CO 80224",1965.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80224,"1,018 SqFt.",Denver,45504.0,
2501,2502,,"1
Bath","1750 Wewatta St 723, Denver, CO 80202",,,,,,,,,,,,80202,"488
Sq. Ft.",Denver,31295.0,"Est. $399,960"
1473,1474,2.0,2.0,"DENVER, CO 80219",1955.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80219,"1,602 SqFt.",Denver,36565.0,
3450,3464,3 Beds,2 Baths,,1997,Forced Air,Central Air,,,,,"Gas, Living Room",,1 space,Condominium,80202,"3,019 SqFt",Denver,31295.0,"$1,175,000"
3618,3652,2 bed,1 bath,,1985.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Laminate,Tile",,Composition,1.0,Condominium,80231,$182 / sq ft,Denver,40908.0,"$354,900"
2132,2133,4.0,3.0,"DENVER, CO 80249",2022.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Laminate, Tile",,,2.0,Residential,80249,"2,382 SqFt.",Denver,63343.0,"$664,870"
1026,1027,3.0,2.0,"DENVER, CO 80224",1956.0,Forced Air,,,,,,,,,Residential,80224,"1,677 SqFt.",Denver,45504.0,"$749,999"
961,962,2.0,1.0,"DENVER, CO 80218",1886.0,Forcedair,Evaporativecooling,,,,"Concrete, Wood",,,,Residential,80218,"1,246 SqFt.",Denver,33162.0,"$600,000"
2889,2890,3,2,"Denver, CO 80218",1904.0,,,,,,,,,,Single Family Residential,80218,"1,932",Denver,33162.0,"$774,000"
3106,3108,3,2,"Denver, CO 80205",1886.0,,,,,,,,,,Single Family Residential,80205,"1,705",Denver,28545.0,"$799,000"
2009,2010,2.0,2.0,"DENVER, CO 80220",1946.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80220,"1,622 SqFt.",Denver,44475.0,
2149,2150,2.0,4.0,"DENVER, CO 80211",2014.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80211,"1,586 SqFt.",Denver,35753.0,
3966,4005,4 bed,2 bath,,2008.0,Forced Air,"Ceiling Fan(s),Central Air",,,,,,Flat,2.0,,80205,$338 / sq ft,Denver,28545.0,"$998,000"
2338,2339,2.0,2.0,"DENVER, CO 80202",2009.0,"Electric, Forcedair, Heatpump, Steam",Centralair,,,,"Carpet, Laminate, Tile",,,1.0,Residential,80202,"1,258 SqFt.",Denver,31295.0,"$739,900"
3853,3891,2 bed,2 bath,,1973.0,Baseboard,,,,,,,Composition,,Condominium,80247,$220 / sq ft,Arapahoe,50411.666666666664,"$189,000"
304,305,Studio-2 Beds,1-2 Baths,"Denver, CO 80206",,Heating: Other,,,,,,,,,Property Type: Apartment,80206,,Denver,40879.0,"$1,640 - $2,790/mo"
1440,1441,4.0,3.0,"DENVER, CO 80207",1952.0,Forcedair,Other,,,,,,,1.0,Residential,80207,"2,160 SqFt.",Denver,41722.0,"$775,000"
1496,1497,3.0,2.0,"DENVER, CO 80207",1952.0,Forcedair,Centralair,,,,,,,2.0,Residential,80207,"1,536 SqFt.",Denver,41722.0,"$499,000"
2652,2653,"5
Beds","3
Baths","3152 S Holly Street, Denver, CO 80222","This home is located at 3152 S Holly Street Denver, Co 80222 Us and has been listed on Homes.com since 19 November 2021 and is currently priced at $1,700,000, approximately $555 per square foot. This property was built in 1954. 3152 S Holly Street is within the school district(s) Denver Public Schools with nearby schools including Bradley International School, Hamilton Middle School, and Thomas Jefferson High School. Similar properties nearby are 3152 S Holly St, 9701 E Progress Cir, 1958 S Marion St, 5455 Landmark Pl 1204, 651 S Race St, 9831 E Progress Cir, 1059 S York St, 905 S Garfield St, 1828 S Williams St, and 10345 E Crestridge Ln.",Heating Details: Forced Air,Cooling Details: Central Air,Basement: Yes,,Construction Materials: Brick,Flooring: Carpet,,Roof: Composition,Garage: 2 0,Building Features: House,80222,"3,064
Sq. Ft.",Denver,41932.0,"$1,700,000"
2875,2876,"4
Beds","3
Baths","The Snowberry at Kipling Park West: Single Family Homes in Denver, CO 80127","This home is located in Denver, Co 80127 Us and has been listed on Homes.com since 11 June 2021 and is currently priced at $674,990, approximately $257 per square foot. Similar properties nearby are 8244 S Cody St.",,,,,,,,,,,80127,"2,630
Sq. Ft.",Jefferson,82563.0,"$674,990+"
916,917,3.0,2.0,"DENVER, CO 80212",1938.0,Forcedair,None,,,,"Carpet, Wood",,,3.0,Residential,80212,"2,398 SqFt.",Denver,37366.0,"$800,000"
4161,4207,3 bed,1 bath,,1949.0,Hot Water,,,,,,,Composition,2.0,Multi Family,80220,$266 / sq ft,Denver,44475.0,"$585,000"
4153,4199,6 bed,,,1957.0,Forced Air,,,,,,,,3.0,,80220,$339 / sq ft,Denver,44475.0,"$878,000"
2772,2773,"1
Bed","2
Baths","1901 Wazee Street #815, Denver, CO 80202","This home is located at 1901 Wazee Street #815 Denver, Co 80202 Us and has been listed on Homes.com since 2 August 2021 and is currently priced at $1,090,000, approximately $1095 per square foot. This property was built in 2020. 1901 Wazee Street #815 is within the school district(s) Denver Public Schools with nearby schools including University Preparatory School, Mcauliffe Manual Middle School, and East High School. Similar properties nearby are 1133 14th St 2210, 1901 Wazee St, 1901 Wazee St, 1901 Wazee St, 1901 Wazee St, 1901 Wazee St, 1901 Wazee St, 1901 Wazee St, 1901 Wazee St, and 1901 Wazee St.",Heating Details: Forced Air,Cooling Details: Central Air,,,"Construction Materials: Brick, Concrete","Flooring: Tile, Wood",,Roof: Unknown,Garage: 1 0,Building Features: High Rise 8,80202,"995
Sq. Ft.",Denver,31295.0,"$1,090,000"
1624,1625,2.0,2.0,"DENVER, CO 80220",1956.0,Warm Air,,,,,,,,,Condominium (residential),80220,"1,076 SqFt.",Denver,44475.0,
3802,3839,4 bed,1 bath,,1935.0,Forced Air,,,,,,,Composition,,Single Family Residence,80219,$282 / sq ft,Denver,36565.0,"$440,000"
821,822,3.0,2.0,"DENVER, CO 80219",1948.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Linoleum, Tile, Wood",,,1.0,Residential,80219,"1,475 SqFt.",Denver,36565.0,"$519,900"
3270,3280,3 Beds,3 Baths,,1974,Forced Air,Central Air,,,,,,,2 spaces,Condominium,80209,"2,120 SqFt",Denver,57519.0,"$950,000"
1354,1355,3.0,2.0,"DENVER, CO 80221",1942.0,Forcedair,None,,,,"Tile, Wood",,,4.0,Residential,80221,"1,123 SqFt.",Adams,39522.0,"$540,000"
4884,4950,2 bed,1 bath,,2017.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Laminate,Tile",,Composition,1.0,Condominium,80224,$507 / sq ft,Denver,45504.0,"$465,000"
850,851,1.0,1.0,"DENVER, CO 80123",1985.0,Forcedair,None,,,,"Carpet, Vinyl",,,,Residential,80123,821 SqFt.,Jefferson,63482.0,"$205,000"
1000,1001,3.0,3.0,"DENVER, CO 80204",2022.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile, Wood",,,2.0,Residential Income,80204,"1,891 SqFt.",Denver,28247.0,"$815,000"
3346,3356,2 Beds,1 Bath,,1958,"Baseboard, Hot Water",,,,,,,,,Condominium,80218,753 SqFt,Denver,33162.0,"$319,000"
18,18,5 Beds,7 Baths,"Denver, CO 80206",Year Built: 1952,Heating: Floor Furnace,Air Conditioning: Central Air,Basement: Unfinished,,"Construction Materials: Brick, Stucco",,,Roof: Other,Parking Spaces: 8,Property Type: Residential,80206,,Denver,40879.0,"$1,800,000"
1637,1638,3.0,3.0,"DENVER, CO 80236",1971.0,Forcedair,Centralair,,,,"Carpet, Laminate",,,1.0,Residential,80236,"1,700 SqFt.",Denver,45121.0,"$310,000"
1667,1668,3.0,3.0,"DENVER, CO 80238",2015.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80238,"1,769 SqFt.",Denver,39381.53220255654,
493,494,1 Bed,1 Bath,"Denver, CO 80210",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80210,,Denver,49953.0,
1347,1348,4.0,4.0,"DENVER, CO 80209",1953.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Wood",,,2.0,Residential,80209,"3,600 SqFt.",Denver,57519.0,"$1,950,000"
3693,3729,3 bed,0 bath,,2017.0,Forced Air,Central Air,,,,"Carpet,Laminate",,Composition,1.0,Multi Family,80222,$237 / sq ft,Denver,41932.0,"$290,000"
3225,3235,1 Bed,1 Bath,,1883,Baseboard,"Central Air, Ceiling Fan(s)",,,,,None,,1 space,Townhouse,80202,"1,647 SqFt",Denver,31295.0,"$1,200,000"
3580,3614,,,,,,,,,,,,,,,80211,N/A / sq ft,Denver,35753.0,"$4,000,000"
4250,4297,5 bed,2 bath,,2017.0,Forced Air,Central Air,,,,,,Composition,3.0,Single Family Residence,80209,$466 / sq ft,Denver,57519.0,"$1,600,000"
687,688,2.0,1.0,"DENVER, CO 80205",1952.0,Forcedair,,,,,,,,1.0,Residential Income,80205,720 SqFt.,Denver,28545.0,"$380,000"
4814,4878,2 bed,2 bath,,2009.0,Heat Pump,Central Air,,,,"Carpet,Tile,Wood",,,1.0,Condominium,80202,$633 / sq ft,Denver,31295.0,"$1,075,000"
1608,1609,2.0,2.0,"DENVER, CO 80247",1980.0,Baseboard,,,,,"Carpet, Vinyl",,,6.0,Residential,80247,943 SqFt.,Arapahoe,50411.666666666664,"$270,000"
4049,4089,4 bed,2 bath,,2008.0,Forced Air,"Ceiling Fan(s),Central Air",,,,,,Flat,2.0,,80205,$338 / sq ft,Denver,28545.0,"$998,000"
3370,3380,2 Beds,2 Baths,,1970,"Forced Air, Natural Gas",Central Air,,,,,"Electric, Insert, Living Room",,1 space,Condominium,80203,"1,087 SqFt",Denver,27444.0,"$450,000"
1009,1010,2.0,2.0,"DENVER, CO 80220",1930.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80220,"1,270 SqFt.",Denver,44475.0,
2408,2409,1.0,1.0,"DENVER, CO 80221",2021.0,Forcedair,Centralair,,,,"Carpet, Tile, Vinyl",,,2.0,Residential,80221,940 SqFt.,Adams,39522.0,"$403,950"
1092,1093,3.0,1.0,"DENVER, CO 80216",1924.0,"Forcedair, Floorfurnace",Evaporativecooling,,,,"Carpet, Wood",,,3.0,Residential,80216,"1,498 SqFt.",Denver,30735.0,"$400,000"
1327,1328,3.0,3.0,"DENVER, CO 80211",2017.0,Forcedair,Centralair,,,,"Carpet, Tile, Wood",,,2.0,Residential Income,80211,"1,771 SqFt.",Denver,35753.0,"$775,000"
1677,1678,6.0,2.0,"DENVER, CO 80236",1956.0,Naturalgas,Centralair,,,,"Carpet, Laminate, Wood",,,2.0,Residential,80236,"2,236 SqFt.",Denver,45121.0,"$620,000"
1999,2000,4.0,4.0,"DENVER, CO 80238",2022.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile, Vinyl",,,3.0,Residential,80238,"2,928 SqFt.",Denver,39381.53220255654,"$934,900"
1310,1311,3.0,1.0,"DENVER, CO 80223",1953.0,Forcedair,None,,,,"Carpet, Laminate, Wood",,,5.0,Residential,80223,"1,060 SqFt.",Denver,32853.0,"$465,000"
4126,4169,5 bed,3 bath,,2007.0,Forced Air,Central Air,,,,,,Fiberglass,1.0,,80209,$428 / sq ft,Denver,57519.0,"$1,949,000"
1987,1988,2.0,4.0,"DENVER, CO 80205",2007.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile",,,1.0,Residential,80205,"1,639 SqFt.",Denver,28545.0,"$719,900"
3614,3648,1 bed,1 bath,,2001.0,Forced Air,Central Air,,,,"Carpet,Tile",,,,Condominium,80237,$385 / sq ft,Denver,51612.0,"$385,000"
344,345,1-2 Beds,1-2 Baths,"Denver, CO 80218",,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80218,,Denver,33162.0,"$1,840 - $2,190/mo"
4095,4136,3 bed,3 bath,,1940.0,Forced Air,,,,,"Carpet,Laminate,Tile",,Composition,,Single Family Residence,80221,$253 / sq ft,Adams,39522.0,"$549,900"
986,987,3.0,4.0,"DENVER, CO 80204",2022.0,"Electric, Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile, Wood",,,2.0,Residential Income,80204,"2,106 SqFt.",Denver,28247.0,"$885,000"
3816,3853,4 bed,1 bath,,1952.0,"Forced Air,NaturalGas",Central Air,,,,"Tile,Wood",,Composition,2.0,Single Family Residence,80210,$349 / sq ft,Denver,49953.0,"$740,000"
4972,5046,3 bed,1 bath,,1890.0,Forced Air,"Ceiling Fan(s),Central Air",,,,,,Composition,1.0,,80209,$423 / sq ft,Denver,57519.0,"$795,000"
4291,4338,1 bed,1 bath,,1971.0,"Electric,Forced Air",Central Air,,,,"Carpet,Wood",,,,Condominium,80209,$488 / sq ft,Denver,57519.0,"$375,000"
3967,4006,2 bed,2 bath,,2020.0,Forced Air,"Ceiling Fan(s),Central Air",,,,,,,1.0,Multi Family,80221,$544 / sq ft,Adams,39522.0,"$619,900"
3064,3065,3,2,"Denver, CO 80221",1942.0,,,,,,,,,,Single Family Residential,80221,"1,132",Adams,39522.0,"$559,000"
3276,3286,2 Beds,4 Baths,,1983,Forced Air,Central Air,,,,,Family/Recreation Room Fireplace,,1 space,Townhouse,80231,"1,131 SqFt",Denver,40908.0,"$357,750"
1142,1143,2.0,1.0,"DENVER, CO 80210",1942.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80210,"1,200 SqFt.",Denver,49953.0,
2358,2359,6.0,6.0,"DENVER, CO 80212",2010.0,Forcedair,Centralair,,,,"Carpet, Tile, Wood",,,4.0,Residential,80212,"4,389 SqFt.",Denver,37366.0,"$1,995,000"
1198,1199,2.0,2.0,"DENVER, CO 80231",1978.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Laminate, Tile",,,1.0,Residential,80231,914 SqFt.,Denver,40908.0,"$260,000"
85,85,1-2 Beds,1-2 Baths,1880 Arapahoe St,,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80202,,Denver,31295.0,"$1,645 - $2,955/mo"
1518,1519,2.0,3.0,"DENVER, CO 80249",2004.0,Forcedair,Centralair,,,,"Carpet, Laminate, Linoleum, Tile",,,2.0,Residential,80249,"1,574 SqFt.",Denver,63343.0,"$425,000"
516,517,2 Beds,1 Bath,"Denver, CO 80220",Year Built: 1952,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80220,,Denver,44475.0,"$1,800/mo"
1381,1382,3.0,2.0,"DENVER, CO 80221",1962.0,Forced Air,Ac.central,,,,,,,,Single Family Residence / Townhouse,80221,"2,089 SqFt.",Adams,39522.0,
2716,2717,"1
Bed","1
Bath","4200 W 17th Avenue #212, Denver, CO 80204","This home is located at 4200 W 17th Avenue #212 Denver, Co 80204 Us and has been listed on Homes.com since 17 July 2021 and is currently priced at $540,000, approximately $655 per square foot. This property was built in 2020. 4200 W 17th Avenue #212 is within the school district(s) Denver Public Schools with nearby schools including Colfax Elementary School, Strive Prep - Lake, and North High School. Similar properties nearby are 1020 15th St, 891 14th St 3305, 2955 Inca St 2p, 891 14th St, 1700 Bassett St 309, 747 Elati St, 4200 W 17th Ave 311, 4200 W 17th Ave 333, 1700 Bassett St 614, and 4200 W 17th Ave 233.",Heating Details: Forced Air,Cooling Details: Central Air,,,Construction Materials: Other,Flooring: Wood,,Roof: Concrete,Garage: 1 0,Building Features: High Rise 8,80204,"825
Sq. Ft.",Denver,28247.0,"$540,000"
